-----------------------------------------------------------
    Name                   Account ID           Trans.
-----------------------------------------------------------
Jimmy Smith          |     83545-99452     |    $104.98
Jeffrey Rodriguez    |     93445-12424     |    $690.26
Juan Lopez           |     24293-80620     |  ($190.59)
Jimmy Smith          |     83545-99452     |  ($936.85)
Earl Stewart         |     52357-54349     |    $146.63
Juan Lopez           |     95658-86799     |    $782.28
James Hughes         |     01524-65380     |    $349.77
Earl Stewart         |     52357-54349     |   $1929.20
Juan Lopez           |     24293-80620     |  ($353.28)
Jimmy Smith          |     44921-58069     |    $511.30
Jimmy Smith          |     83545-99452     |    $330.26
Earl Stewart         |     81782-21568     |   $1063.75
James Hughes         |     01524-65380     |     $96.63
Jeffrey Rodriguez    |     93445-12424     |    $700.95
Tammy Gray           |     44471-18426     |  ($739.36)
Tammy Gray           |     44471-18426     |   $1609.17
James Hughes         |     01524-65380     |   $1214.46
Jeffrey Rodriguez    |     93445-12424     |     $17.12
Tammy Gray           |     09312-94888     |   $1102.79
Jeffrey Rodriguez    |     70615-99374     |   $1645.61
James Hughes         |     04634-37226     |   $1755.71
Tammy Gray           |     44471-18426     |  ($717.09)
Jeffrey Rodriguez    |     93445-12424     |   $1680.93
Jeffrey Rodriguez    |     70615-99374     |   $1555.23
Jimmy Smith          |     44921-58069     |    $785.61
Juan Lopez           |     95658-86799     |  ($243.17)
Juan Lopez           |     24293-80620     |   ($67.56)
James Hughes         |     01524-65380     |  ($321.71)
Sean Barnes          |     69069-29232     |  ($273.81)
Juan Lopez           |     24293-80620     |    $153.36
Juan Lopez           |     24293-80620     |   $1883.07
Tammy Gray           |     23694-74441     |   $1086.44
Earl Stewart         |     52357-54349     |   $1719.32
Jimmy Smith          |     44921-58069     |   $1711.12
Jimmy Smith          |     44921-58069     |    $758.88
Juan Lopez           |     15840-81914     |   $1239.08
James Hughes         |     01524-65380     |    $525.56
Earl Stewart         |     52357-54349     |    $957.56
Jimmy Smith          |     83545-99452     |   $1697.75
Juan Lopez           |     95658-86799     |    $785.03
Jeffrey Rodriguez    |     93445-12424     |   $1376.37
James Hughes         |     01524-65380     |   $1930.63
Tammy Gray           |     23694-74441     |    $760.56
Earl Stewart         |     81782-21568     |   $1186.48
Tammy Gray           |     44471-18426     |     $38.96
James Hughes         |     04634-37226     |   $1459.98
Juan Lopez           |     95658-86799     |  ($555.21)
Earl Stewart         |     81782-21568     |    $970.79
Jeffrey Rodriguez    |     70615-99374     |     $29.69
Juan Lopez           |     95658-86799     |  ($496.84)
Sean Barnes          |     69069-29232     |    $201.29
Juan Lopez           |     24293-80620     |  ($877.58)
Sean Barnes          |     15821-95120     |  ($302.65)
Tammy Gray           |     23694-74441     |   $1593.17
Juan Lopez           |     24293-80620     |   $1401.22
Sean Barnes          |     15821-95120     |   $1610.05
Sean Barnes          |     15821-95120     |  ($540.51)
Sean Barnes          |     69069-29232     |  ($268.81)
Jimmy Smith          |     83545-99452     |  ($872.24)
Jeffrey Rodriguez    |     70615-99374     |    $731.04
Earl Stewart         |     81782-21568     |  ($180.62)
Tammy Gray           |     44471-18426     |   $1155.08
Juan Lopez           |     24293-80620     |    $382.06
Jimmy Smith          |     44921-58069     |  ($803.82)
Tammy Gray           |     23694-74441     |   $1244.52
Sean Barnes          |     15821-95120     |  ($567.25)
James Hughes         |     01524-65380     |   $1054.05
Sean Barnes          |     04025-42834     |  ($527.84)
Earl Stewart         |     81782-21568     |  ($447.56)
Tammy Gray           |     23694-74441     |  ($158.72)
James Hughes         |     04634-37226     |   $1906.54
Sean Barnes          |     69069-29232     |   $1873.14
Jeffrey Rodriguez    |     70615-99374     |  ($458.58)
Jimmy Smith          |     44921-58069     |    $593.15
Juan Lopez           |     95658-86799     |   $1158.08
Juan Lopez           |     95658-86799     |    $641.76
Juan Lopez           |     15840-81914     |  ($741.53)
Juan Lopez           |     24293-80620     |    $931.63
Tammy Gray           |     09312-94888     |  ($750.72)
Jeffrey Rodriguez    |     70615-99374     |   $1852.69
Jeffrey Rodriguez    |     93445-12424     |    $336.86
Tammy Gray           |     23694-74441     |    $113.31
Jimmy Smith          |     44921-58069     |   $1405.27
Juan Lopez           |     24293-80620     |   $1293.60
Juan Lopez           |     15840-81914     |    $699.24
Tammy Gray           |     44471-18426     |     $60.05
Jeffrey Rodriguez    |     93445-12424     |  ($445.01)
Earl Stewart         |     81782-21568     |    $992.41
Sean Barnes          |     15821-95120     |  ($852.75)
Sean Barnes          |     15821-95120     |   $1787.35
Jeffrey Rodriguez    |     93445-12424     |    $748.15
Earl Stewart         |     81782-21568     |    $610.57
Sean Barnes          |     15821-95120     |  ($220.96)
James Hughes         |     01524-65380     |    $687.57
Jeffrey Rodriguez    |     70615-99374     |   $1627.45
Jimmy Smith          |     44921-58069     |   $1022.44
Sean Barnes          |     69069-29232     |    $659.28
Juan Lopez           |     15840-81914     |    $163.67
Earl Stewart         |     81782-21568     |   ($45.02)
